FixtureID,Date,Timestamp,VenueID,HomeTeamID,AwayTeamID,Status,Round,LeagueID,Season
1325098,2025-07-19T10:00:00+00:00,1752919200,11577.0,4319,4314,NS,Regular Season - 21,100,2025
1325099,2025-07-19T09:00:00+00:00,1752915600,1935.0,317,7129,NS,Regular Season - 21,100,2025
1325100,2025-07-21T10:00:00+00:00,1753092000,20519.0,10409,805,NS,Regular Season - 21,100,2025
1325101,2025-07-21T10:00:00+00:00,1753092000,11575.0,2236,7138,NS,Regular Season - 21,100,2025
1325102,2025-07-26T09:30:00+00:00,1753522200,11578.0,4326,4319,NS,Regular Season - 22,100,2025
1325103,2025-07-26T09:00:00+00:00,1753520400,11585.0,7145,315,NS,Regular Season - 22,100,2025
1325104,2025-07-26T10:00:00+00:00,1753524000,2774.0,756,2236,NS,Regular Season - 22,100,2025
1325105,2025-07-26T09:00:00+00:00,1753520400,3306.0,4324,10409,NS,Regular Season - 22,100,2025
1325106,2025-07-26T09:00:00+00:00,1753520400,969.0,304,297,NS,Regular Season - 22,100,2025
1325107,2025-07-26T09:00:00+00:00,1753520400,3298.0,4314,805,NS,Regular Season - 22,100,2025
1325108,2025-07-26T09:00:00+00:00,1753520400,20561.0,7138,317,NS,Regular Season - 22,100,2025
1325109,2025-07-26T09:00:00+00:00,1753520400,5191.0,7135,300,NS,Regular Season - 22,100,2025
1325110,2025-07-26T09:00:00+00:00,1753520400,5189.0,7129,4318,NS,Regular Season - 22,100,2025
1325111,2025-07-26T09:00:00+00:00,1753520400,959.0,2235,4323,NS,Regular Season - 22,100,2025
1325112,2025-08-16T09:00:00+00:00,1755334800,3301.0,4318,7145,NS,Regular Season - 23,100,2025
1325113,2025-08-16T10:00:00+00:00,1755338400,20714.0,315,4314,NS,Regular Season - 23,100,2025
1325114,2025-08-16T10:00:00+00:00,1755338400,2774.0,756,7138,NS,Regular Season - 23,100,2025
1325115,2025-08-16T10:00:00+00:00,1755338400,969.0,304,2235,NS,Regular Season - 23,100,2025
1325116,2025-08-16T09:00:00+00:00,1755334800,3305.0,4323,4326,NS,Regular Season - 23,100,2025
1325117,2025-08-16T10:00:00+00:00,1755338400,987.0,300,10409,NS,Regular Season - 23,100,2025
